期号,日期,开奖号码
23325,2023-12-05,"['7', '1', '7']"
23324,2023-12-04,"['6', '0', '2']"
23323,2023-12-03,"['9', '4', '5']"
23322,2023-12-02,"['1', '7', '4']"
23321,2023-12-01,"['2', '1', '1']"
23320,2023-11-30,"['6', '9', '7']"
23319,2023-11-29,"['9', '6', '5']"
23318,2023-11-28,"['7', '9', '0']"
23317,2023-11-27,"['3', '9', '7']"
23316,2023-11-26,"['2', '3', '4']"
23315,2023-11-25,"['7', '4', '7']"
23314,2023-11-24,"['3', '5', '5']"
23313,2023-11-23,"['4', '1', '4']"
23312,2023-11-22,"['4', '4', '2']"
23311,2023-11-21,"['5', '8', '3']"
23310,2023-11-20,"['4', '1', '7']"
23309,2023-11-19,"['3', '2', '9']"
23308,2023-11-18,"['6', '1', '9']"
23307,2023-11-17,"['9', '3', '6']"
23306,2023-11-16,"['3', '3', '0']"
23305,2023-11-15,"['6', '7', '9']"
23304,2023-11-14,"['7', '2', '8']"
23303,2023-11-13,"['5', '7', '2']"
23302,2023-11-12,"['1', '6', '1']"
23301,2023-11-11,"['0', '4', '1']"
23300,2023-11-10,"['2', '9', '6']"
23299,2023-11-09,"['8', '0', '8']"
23298,2023-11-08,"['3', '6', '5']"
23297,2023-11-07,"['7', '6', '1']"
23296,2023-11-06,"['8', '0', '7']"
23295,2023-11-05,"['8', '8', '2']"
23294,2023-11-04,"['6', '6', '7']"
23293,2023-11-03,"['4', '3', '4']"
23292,2023-11-02,"['9', '6', '8']"
23291,2023-11-01,"['1', '5', '0']"
23290,2023-10-31,"['1', '5', '4']"
23289,2023-10-30,"['9', '9', '8']"
23288,2023-10-29,"['3', '1', '4']"
23287,2023-10-28,"['8', '9', '4']"
23286,2023-10-27,"['1', '1', '6']"
23285,2023-10-26,"['7', '1', '6']"
23284,2023-10-25,"['3', '8', '2']"
23283,2023-10-24,"['0', '2', '9']"
23282,2023-10-23,"['3', '0', '8']"
23281,2023-10-22,"['3', '4', '4']"
23280,2023-10-21,"['6', '0', '1']"
23279,2023-10-20,"['3', '9', '1']"
23278,2023-10-19,"['0', '7', '0']"
23277,2023-10-18,"['0', '2', '8']"
23276,2023-10-17,"['6', '0', '6']"
